,xA,yA,zA,xC,yC,zC,A1,A2,A3,B,C1,C2,C3,rA1,rA2,rA3,rB,rC1,rC2,rC3,rA,rC,TF,OF
39,0.0,0.0,1.0,0.1,0.0,0.9,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,2.161,0.9898650881963874,0.5506709856547894
40,0.0,0.0,1.0,0.1,0.05,0.85,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,2.149,0.9908812905576088,0.5537459283387622
41,0.0,0.0,1.0,0.1,0.1,0.8,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,2.1370000000000005,0.9919048235039424,0.5568554047730462
42,0.0,0.0,1.0,0.1,0.15,0.75,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,2.125,0.992935766643553,0.5599999999999999
43,0.0,0.0,1.0,0.1,0.2,0.7,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,2.113,0.9939742007414896,0.563180312352106
44,0.0,0.0,1.0,0.1,0.25,0.65,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,2.101,0.9950202077407784,0.5663969538315088
45,0.0,0.0,1.0,0.1,0.3,0.6,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,2.089,0.9960738707839777,0.5696505505026328
46,0.0,0.0,1.0,0.1,0.35,0.55,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,2.077,0.9971352742352078,0.5729417428984112
47,0.0,0.0,1.0,0.1,0.4,0.5,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,2.0650000000000004,0.9982045037026684,0.5762711864406779
48,0.0,0.0,1.0,0.1,0.45,0.45,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,2.053,0.999281646061655,0.5796395518753045
49,0.0,0.0,1.0,0.1,0.5,0.4,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,2.0410000000000004,1.0003667894780899,0.5830475257226848
50,0.0,0.0,1.0,0.1,0.55,0.35,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,2.029,1.0014600234325783,0.586495810744209
51,0.0,0.0,1.0,0.1,0.6,0.3,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,2.017,1.002561438745005,0.5899851264253843
52,0.0,0.0,1.0,0.1,0.65,0.25,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,2.005,1.0036711275996848,0.5935162094763092
53,0.0,0.0,1.0,0.1,0.7,0.2,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,1.9929999999999999,1.004789183571082,0.5970898143502258
54,0.0,0.0,1.0,0.1,0.75,0.15,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,1.981,1.0059157016501152,0.6007067137809187
55,0.0,0.0,1.0,0.1,0.8,0.1,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,1.969,1.0070507782710596,0.6043676993397663
56,0.0,0.0,1.0,0.1,0.85,0.05,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,1.957,1.0081945113390653,0.6080735820132855
57,0.0,0.0,1.0,0.15,0.0,0.85,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,2.1415,0.9915201345678992,0.5556852673359793
58,0.0,0.0,1.0,0.15,0.05,0.8,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,2.1295,0.9925482894829696,0.5588166236205682
59,0.0,0.0,1.0,0.15,0.1,0.75,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,2.1175,0.9935839049325711,0.5619834710743801
60,0.0,0.0,1.0,0.15,0.15,0.7,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,2.1055,0.9946270624154882,0.5651864165281405
61,0.0,0.0,1.0,0.15,0.2,0.65,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,2.0935,0.995677844621898,0.5684260807260568
62,0.0,0.0,1.0,0.15,0.25,0.6,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,2.0815,0.9967363354552234,0.5717030987268796
63,0.0,0.0,1.0,0.15,0.3,0.55,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,2.0695,0.9978026200544639,0.5750181203189175
64,0.0,0.0,1.0,0.15,0.35,0.5,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,2.0575,0.9988767848170244,0.5783718104495746
65,0.0,0.0,1.0,0.15,0.4,0.45,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,2.0455,0.9999589174220516,0.5817648496700073
66,0.0,0.0,1.0,0.15,0.45,0.4,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,2.0335,1.0010491068542915,0.5851979345955249
67,0.0,0.0,1.0,0.15,0.5,0.35,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,2.0215,1.0021474434284823,0.5886717783823893
