,xA,yA,zA,xC,yC,zC,rA,rB,rC,TF,pred_Linear_Regression,pred_Random_Forest_Regression,pred_Random_Forest_Regression1,pred_Gradient_Boosting_Regression,pred_Kernel_Ridge_Regression
706,0.0,0.9,0.1,0.0,0.1,0.9,2.197,1.19,2.176,0.9186506102581022,1.628173828125,1.54836864411235,1.5408813544825783,1.5546127180730531,1.6464713981639738
1502,0.1,0.0,0.9,0.0,0.1,0.9,2.4439999999999995,1.19,2.176,0.9705387192756532,1.5203857421875,1.539103173620343,1.5383224788151486,1.5529955358766965,1.5542751836482274
1582,0.1,0.1,0.8,0.0,0.1,0.9,2.407,1.19,2.176,0.9627660065888138,1.5341796875,1.539103173620343,1.5383224788151486,1.5449522371151767,1.5646312765123578
1659,0.1,0.2,0.7,0.0,0.1,0.9,2.37,1.19,2.176,0.954993293901974,1.548095703125,1.539103173620343,1.5383224788151486,1.569810025922547,1.5749873693764864
1735,0.1,0.3,0.6,0.0,0.1,0.9,2.333,1.19,2.176,0.9472205812151344,1.56201171875,1.539103173620343,1.5383224788151486,1.5666915951837104,1.585343462240615
1811,0.1,0.4,0.5,0.0,0.1,0.9,2.2960000000000003,1.19,2.176,0.9394478685282948,1.5760498046875,1.539103173620343,1.5383224788151486,1.5752003947126552,1.5956995551047417
1887,0.1,0.5,0.4,0.0,0.1,0.9,2.2590000000000003,1.19,2.176,0.9316751558414552,1.58984375,1.539945347533387,1.539164652728192,1.5689130910201772,1.6060556479688692
1963,0.1,0.6,0.3,0.0,0.1,0.9,2.222,1.19,2.176,0.9239024431546154,1.6038818359375,1.539945347533387,1.539164652728192,1.574518020682231,1.616411740832996
2039,0.1,0.7,0.2,0.0,0.1,0.9,2.185,1.19,2.176,0.916129730467776,1.61767578125,1.552864432061389,1.5548757460281244,1.5749980625418123,1.6267678336971243
2115,0.1,0.8,0.1,0.0,0.1,0.9,2.148,1.19,2.176,0.908357017780936,1.6317138671875,1.5740672113564491,1.5854699045453051,1.6090509394838777,1.6371239265612516
2818,0.2,0.0,0.8,0.0,0.1,0.9,2.358,1.19,2.176,0.9524724141116478,1.5377197265625,1.539103173620343,1.5383224788151486,1.5638423049351975,1.5552838049096391
2896,0.2,0.1,0.7,0.0,0.1,0.9,2.321,1.19,2.176,0.944699701424808,1.5517578125,1.539103173620343,1.5383224788151486,1.569219668905505,1.5656398977737656
2973,0.2,0.2,0.6,0.0,0.1,0.9,2.284,1.19,2.176,0.9369269887379684,1.565673828125,1.539103173620343,1.5383224788151486,1.5761784568246306,1.5759959906378929
3049,0.2,0.3,0.5,0.0,0.1,0.9,2.247,1.19,2.176,0.9291542760511288,1.57958984375,1.539945347533387,1.539164652728192,1.5788784648552503,1.5863520835020195
