Feature,A1,A2,A3,B,C1,C2,C3,xA,yA,zA,xC,yC,zC,bandgap eV,checking,bandgap (Sona),measured/calculated,crystal or device (multilayer film structure),AB-,Link
45,Cs,MA,FA,Pb,Cl,Br,I,0.1000,0.9000,,,,1.00,1.6100,correct,TRUE,,crystal,same article,A Review on Energy Band‐Gap Engineering for Perovskite Photovoltaics - Hu - 2019 - Solar RRL - Wiley Online Library
46,Cs,MA,FA,Pb,Cl,Br,I,0.0500,0.9500,,,,1.00,1.6000,correct,TRUE,,crystal,same article,A Review on Energy Band‐Gap Engineering for Perovskite Photovoltaics - Hu - 2019 - Solar RRL - Wiley Online Library
47,Cs,MA,FA,Pb,Cl,Br,I,0.0400,0.9600,,,,1.00,1.5900,correct,TRUE,,crystal,same article,A Review on Energy Band‐Gap Engineering for Perovskite Photovoltaics - Hu - 2019 - Solar RRL - Wiley Online Library
48,Cs,MA,FA,Pb,Cl,Br,I,0.0300,0.9700,,,,1.00,1.5830,correct,TRUE,,crystal,same article,A Review on Energy Band‐Gap Engineering for Perovskite Photovoltaics - Hu - 2019 - Solar RRL - Wiley Online Library
49,Cs,MA,FA,Pb,Cl,Br,I,0.0200,0.9800,,,,1.00,1.5800,correct,TRUE,,crystal,same article,A Review on Energy Band‐Gap Engineering for Perovskite Photovoltaics - Hu - 2019 - Solar RRL - Wiley Online Library
50,Cs,MA,FA,Pb,Cl,Br,I,0.0000,1.0000,,,,1.00,1.5740,correct,TRUE,,crystal,same article,A Review on Energy Band‐Gap Engineering for Perovskite Photovoltaics - Hu - 2019 - Solar RRL - Wiley Online Library
51,Cs,MA,FA,Pb,Cl,Br,I,0.0000,,1.0000,,,1.00,1.5200,correct,TRUE,,crystal,"same article, correct",Band Gap Tuning via Lattice Contraction and Octahedral Tilting in Perovskite Materials for Photovoltaics | Journal of the American Chemical Society (acs.org)
52,Cs,MA,FA,Pb,Cl,Br,I,0.1000,,0.9000,,,1.00,1.5100,correct,TRUE,,crystal,same article,Band Gap Tuning via Lattice Contraction and Octahedral Tilting in Perovskite Materials for Photovoltaics | Journal of the American Chemical Society (acs.org)
53,Cs,MA,FA,Pb,Cl,Br,I,0.2000,,0.8000,,,1.00,1.5300,correct,TRUE,,crystal,same article,Band Gap Tuning via Lattice Contraction and Octahedral Tilting in Perovskite Materials for Photovoltaics | Journal of the American Chemical Society (acs.org)
54,Cs,MA,FA,Pb,Cl,Br,I,0.2500,,0.7500,,,1.00,1.5700,correct,TRUE,,crystal,same article,Band Gap Tuning via Lattice Contraction and Octahedral Tilting in Perovskite Materials for Photovoltaics | Journal of the American Chemical Society (acs.org)
55,Cs,MA,FA,Pb,Cl,Br,I,0.3000,,0.7000,,,1.00,1.5650,correct,TRUE,,crystal,same article,Band Gap Tuning via Lattice Contraction and Octahedral Tilting in Perovskite Materials for Photovoltaics | Journal of the American Chemical Society (acs.org)
56,Cs,MA,FA,Pb,Cl,Br,I,0.3500,,0.6500,,,1.00,1.5750,correct,TRUE,,crystal,same article,Band Gap Tuning via Lattice Contraction and Octahedral Tilting in Perovskite Materials for Photovoltaics | Journal of the American Chemical Society (acs.org)
57,Cs,MA,FA,Pb,Cl,Br,I,1.0000,,0.0000,,,1.00,1.7200,correct,TRUE,,crystal,same article,Band Gap Tuning via Lattice Contraction and Octahedral Tilting in Perovskite Materials for Photovoltaics | Journal of the American Chemical Society (acs.org)
58,Cs,MA,FA,Pb,Cl,Br,I,,1.0000,0.0000,,,1.00,1.5000,correct,TRUE,,crystal,same article,High Throughput Engineering of Hybrid Perovskite Semiconductors for Photovoltaic Applications (fau.de)
59,Cs,MA,FA,Pb,Cl,Br,I,,0.9000,0.1000,,,1.00,1.5000,correct,TRUE,,crystal,same article,High Throughput Engineering of Hybrid Perovskite Semiconductors for Photovoltaic Applications (fau.de)
60,Cs,MA,FA,Pb,Cl,Br,I,,0.8000,0.2000,,,1.00,1.5000,correct,TRUE,,crystal,same article,High Throughput Engineering of Hybrid Perovskite Semiconductors for Photovoltaic Applications (fau.de)
